Input,Predicted,Actual
Listen he prays for you.,<unk> <unk> <unk> <unk> लिए लिए,सुनो ... ... वह तुम्हारे लिए प्रार्थना करता है.
"Doesn't give up, does she?","<unk> , , नहीं नहीं ?","हार नहीं करता है, वह करता है?"
You got beautiful breasts.,<unk> <unk> <unk> <unk> .,तुम्हारे स्तन सुंदर है.
that they can't touch?,कि पर नहीं नहीं सकते सकते ?,जिसे वे छू नहीं सकते.
See..even you are scared.,<unk> <unk> <unk> तुम तुम हो . .,See.. even आप डर रहे हैं।
Try the Hoffler Klinik.,<unk> <unk> <unk> <unk> <unk>,हॉफ़्लर क्लिनिक में देखना।
Page 12 and 13.,<unk> और और <unk> <unk> <unk>,पेज 12 और 13 पर
"Tell your story, Leonard.","<unk> <unk> <unk> , <unk> <unk> .","अपनी कहानी, लियोनार्ड बताओ."
- Just a sec.,<unk> <unk> <unk> <unk> .,- एक सेकेण्ड.
Don't waste my time then.,<unk> मेरे समय नहीं नहीं नहीं .,तो मेरा समय बर्बाद मत करो।
Go and get the car.,और कार कार कार कार,जाओ और कार मिलता है।
And neither can you!,<unk> <unk> भी भी कर कर,और ना ही आप कर सकते हैं!
Who are those morons?,<unk> <unk> <unk> <unk> ? ?,ये बेवकूफ़ आखिर हैं कौन?
WOMAN 1 [ON TV]:,( <unk> <unk> <unk> <unk> <unk>,WOMAN 1 [टीवी पर ]:
Moving to level 3.,<unk> के के के के के,स्तर 2 सुरक्षित. स्तर 3 से चल रहा है.
This is an anti-bank's holiday.,<unk> <unk> <unk> है .,यह एक बैंक-विरोधी छुट्टी है.
How's your day been?,<unk> <unk> <unk> <unk> है ?,कैसे अपने दिन हो गया है?
"Watch it, watch it.","<unk> यह , , , यह .","यह देखो, इसे देखते हैं."
Why are you dull?,<unk> <unk> <unk> हो हो ?,तुम इतनी उदास क्यों हो?
You can't hurt me.,<unk> मुझे नहीं नहीं नहीं सकते .,तुम मुझे चोट नहीं कर सकते हैं।
Get in the car.,कार में में में,कार में बैठ जाओ.
"No. We wanted you, Ender.","<unk> <unk> <unk> , <unk> <unk> .","नहीं एंडर, हम तुम्हे चाहते थे।"
The 14th Century was recently.,<unk> <unk> <unk> <unk> <unk> <unk> .,14 वीं सदी के हाल ही में किया गया था.
Please attend the service.,<unk> <unk> <unk> <unk> .,"सत्संग में बैठे रहें, कृपया."
a visit to the bar.,<unk> <unk> <unk> <unk> <unk>,बार के लिए एक यात्रा।
If you don't mind?,<unk> तुम नहीं नहीं नहीं ?,आप मन नहीं है?
But I still don't understand.,<unk> भी भी नहीं नहीं नहीं नहीं नहीं,अभी भी मेरी समझ से बाहर है।
Something has to change.,<unk> <unk> <unk> लिए . .,कुछ बदल गया है.
- A magical friendship.,<unk> <unk> <unk> <unk> <unk>,- एक जादुई दोस्ती.
Perhaps that will suffice.,<unk> <unk> <unk> <unk> . .,शायद यह है कि पर्याप्त होगा।
No shots have been fired.,<unk> <unk> <unk> <unk> <unk> .,कोई गोली नहीं चली है.
He's in a bad condition.,<unk> <unk> <unk> <unk> <unk> है .,उन्होंने कहा कि एक बुरी हालत में है।
( ROCK MUSIC ),( <unk> <unk> ) <unk>,(रॉक संगीत)
They'll serve you well.,<unk> <unk> <unk> तरह तरह . .,वे आपको अच्छी तरह से काम करेंगे।
We've lost the war!,<unk> <unk> <unk> <unk> !,हम युद्ध हार गये हैं!
"Yeah, I'm right behind you.","<unk> , , , , , . .",मैं ठीक तुम्हारे पीछे हूं।
Meaning it's been done.,<unk> यह हो है . .,यह किया गया है जिसका अर्थ है.
-It's a rubber thumb.,<unk> <unk> <unk> <unk> <unk> .,", यह एक रबर अंगूठे है."
"Come forward, my dear.","<unk> <unk> , , , . .","आगे आओ, मेरे प्यारे।"
You don't remember nothing?,<unk> नहीं भी नहीं नहीं नहीं नहीं,तुम कुछ भी याद नहीं है?
I'm sorry... I'm really sorry.,<unk> <unk> <unk> <unk> <unk> . . . . .,"माफ़ कर दो, सच में माफ़ कर दो।"
"- You were saying, sir?","<unk> <unk> कह , , ,","- तुम क्या कह रहे थे, साहब?"
Get him out of here!,उसे यहाँ से बाहर बाहर ! !,उसे यहाँ से बाहर निकालो!
Lewis able to pick up.,<unk> <unk> <unk> <unk> <unk> .,लुईसलेनेमेंसक्षम.
Take it with your mother.,मेरे माँ के के के है,अपनी मां के साथ ले लो.
"Alexander, my husband, my king.","<unk> , मेरे मेरे , , , .","सिकंदर, मेरे पति, मेरे राजा."
"That's all they are, stacker.","<unk> <unk> , , <unk> <unk> . .","वे, स्टेकर हैं सब है."
-there's a dhobi story.,<unk> एक <unk> <unk> है है,-. कहानी है एक धोबी.
- Look for Victoria.,<unk> <unk> <unk> <unk> <unk>,~ ~ विक्टोरिया के लिए देखो.
Your number is on display.,<unk> <unk> <unk> पर .,हुकुम यही नम्बर है.
Torn from their teeth.,अपने <unk> <unk> <unk> <unk> ।,अपनेदांतोंसे बाहरलेली.
"Well, I love cake, so...","<unk> , , , , , , , .","खैर, मैं तो, केक प्यार..."
And I hate sweat.,<unk> <unk> <unk> <unk> <unk> <unk>,और मैं पसीने से नफरत है।
You'll be staying in there.,<unk> <unk> <unk> <unk> . .,तुम वहाँ रह सकते हो.
My name is Jack Torrance.,<unk> <unk> <unk> <unk> <unk> है,मेरा नाम जैक टॉरंस है.
Do you have an accordion?,<unk> <unk> <unk> <unk> है है ?,आपके पास अकॉर्डियन तो है?
You may wanna get that.,<unk> <unk> <unk> जा जा . .,"एमी, तुम शानदार दिख रही हो."
Let's see who we have.,<unk> <unk> है है है .,हमारे पास चलो देखते हैं कौन.
-But Master Shifu said...,<unk> <unk> <unk> <unk> . .,-गुरू शीफ़ू ने...
"We're going, that's all.","<unk> , , , , , , है .",हम जा रहे हैं... बस
"Baskin-Robbins always finds out, bro.",<unk> <unk> <unk> <unk> <unk> <unk> .,"बास्किन रॉबिन्स हमेशा भाई, पता चल गया।"
(VALENTINE CONTINUES SPEAKING FRENCH),( <unk> <unk> <unk> <unk> <unk> ),(वेलेंटाइन बोल जारी फ्रांस)
Do you hear me?,<unk> तुम <unk> <unk> ? ?,आप मुझे सुन रहे हो?
I'll cut that arm off!,<unk> <unk> <unk> <unk> <unk> ! !,मैं कि हाथ काट देगा! . महारानी !
How about right up there?,<unk> में में में है है ?,कैसे के बारे में सही वहाँ?
Did you eat anything yesterday?,आप कुछ कुछ <unk> <unk> ?,क्या तुमने कल कुछ खाया था?
- I counted the spaces.,<unk> <unk> <unk> <unk> <unk>,- मैं गिनती कर रही हूँ बीच की खाली जगहों की .
Tell me the truth.,<unk> मुझे <unk> . .,सच बताओ मुझे.
Will you count in Chinese?,<unk> <unk> <unk> <unk> <unk> ?,आप चीनी में गिनती होगी?
But this party's for girls.,<unk> <unk> के <unk> <unk> है है,लेकिन इस पार्टी लड़कियों के लिए है.
- Alice what you saw?,<unk> इंतज़ार क्या क्या कर ?,~ ऐलिस तुमने क्या देखा निर्णय?
Fuck me. That's incredible news.,<unk> <unk> <unk> <unk> <unk> <unk> .,"वाह, यह तो ज़बर्दस्त खबर है."
"Slowly. Go, go, go!","<unk> , , , जाओ ! !",जाओ!
"How about this, huh?",<unk> में में में है है ?,"कैसे इस बारे में, है ना?"
Thanks for your help.,हमारे के के के लिए .,आपकी मदद के लिए धन्यवाद.
Outsiders are not allowed here.,<unk> यहाँ <unk> नहीं नहीं . .,वह यहाँ नहीं है. अपने व्यापार राज्य और मैं इसे पारित करेंगे.
"♪ TO, BABY, MESS AROUND",<unk> <unk> <unk> <unk> <unk> <unk> <unk>,"♪करनेके लिए,बेबी,चारोंओरगंदगी"
I'm telling you to stop.,<unk> मैं तुम लिए लिए लिए . .,मै आपसे रुकने के लिये कह रही हूँ.
"Uh, no... kissing in public.","<unk> , , . . . . . .","उह, नहीं ... सार्वजनिक रूप से चुंबन."
There's nothing left here?,<unk> यहाँ कुछ नहीं नहीं नहीं है,यहाँ कुछ नहीं बचा है?
"Hm, let me see.","<unk> , मुझे मुझे सुनो .",मुझे देखने दो।
"Yeah, obviously, you don't!","<unk> , , , , तुम नहीं ! !","हाँ, जाहिर है, तुम नहीं!"
It's just through the door.,<unk> के के के के के है .,यह बस दरवाजे के करीब है।
"All right, yeah, I'm down.","<unk> <unk> , , , , . .","ठीक है, हाँ, मैं नीचे हूँ।"
[ CAR ENGINE REVS ],[ <unk> <unk> <unk> ],[कार इंजन revs]
- The small one?,<unk> <unk> <unk> <unk> ?,-छोटी वाली?
"Ah, Mohnke... you're here.","<unk> , <unk> . . . . . .","आह, मौंके... तुम यहाँ हो."
"Enjoy your evening, Miss Vandervoort.",<unk> <unk> <unk> <unk> <unk> <unk> <unk> .,"अपनी शाम, मिस Vandervoort का आनंद लें."
"Yeah, I'm on it.","<unk> , <unk> <unk> <unk> . .","हाँ, मैं उस पर हूँ."
"Like, it all is?","<unk> , यह यह है है ?","जैसे, यह सब क्या है?"
"Great wealth, power, conquest.","<unk> <unk> , , , <unk> <unk>","महान धन, शक्ति, विजय."
I tied my shoe today.,<unk> <unk> <unk> <unk> <unk> कर .,मैंआजमेराजूताबंधे /मैं
Sounds suspicious to me.,<unk> मुझे <unk> <unk> <unk> .,मुझे दाल में कुछ काला लगता है।
"- All right, all right.","<unk> ठीक है , है ठीक है","खड़े हो जाओ! - ठीक है, ठीक है."
- Promise you'll kill him?,<unk> तुम <unk> <unk> हो ? ?,- वादा करो कि तुम उसे मारोगे?
But it's not about me.,<unk> बात बात नहीं नहीं नहीं है,लेकिन यह मेरे बारे में नहीं है.
-l'm going kind of safe.,<unk> <unk> जा जा जा .,-L'm सुरक्षित की जा तरह.
Privacy rights are restored.,<unk> <unk> <unk> <unk> . .,गोपनीयता अधिकार बहाल कर रहे हैं.
Thanks for being here.,<unk> यहाँ यहाँ लिए लिए .,यहाँ होने के लिए धन्यवाद.
Many were burned alive.,<unk> <unk> <unk> <unk> । .,कई जिंदा जला दिया गया.
Dressing up as a prince.,<unk> <unk> <unk> <unk> <unk> .,राजकुमार का भेष बना रहा है.
Just like Peter taught me.,<unk> <unk> <unk> <unk> <unk> <unk> .,पीटर ने मुझे सिखाया बस की तरह.
I love bringing people together!,मैं <unk> <unk> <unk> <unk> <unk> !,मैं लोगों को एक साथ लाने के प्यार करता हूँ!
A truly historic handshake.,<unk> <unk> <unk> <unk> <unk> <unk>,--वास्तविक रूप से ऐतिहासिक समझौता है।
You gotta go for me.,मेरे मुझे जाना <unk> .,-तुम्हें मेरे लिए जाना होगा।
4 years till date,( <unk> <unk> है है,आज तक 4 साल
"Josh, I was always there.","<unk> , , <unk> , किया . .","जोश, मैं हमेशा वहाँ था।"
Did you try something new?,<unk> <unk> <unk> <unk> <unk> ? ?,आप कुछ नया करने की कोशिश की थी?
"See you tomorrow, asshole.","<unk> <unk> , , , , .",बेवकूफ़ गधे कहीं के।
- We're on fire.,<unk> <unk> <unk> <unk> कर हैं,- आग लगा दी है.
"God, this is so humiliating.","<unk> , यह यह <unk> है है","भगवान, यह कितना अपमानजनक है।"
"Poor boy, he's been beaten.","<unk> , , वह <unk> <unk> है .","गरीब लड़का, वह पीटा गया है."
It was my lover's gang.,<unk> <unk> <unk> <unk> <unk> है,यह मेरा प्रेमी के गिरोह था।
Don't leave me alone.,<unk> मुझे नहीं नहीं . .,मुझे अकेला मत छोड़ो।
They'II send you away.,<unk> <unk> <unk> तुम . .,वे तुम्हें दूर भेज देंगे.
How dare you pass comments!,<unk> <unk> <unk> <unk> <unk> <unk> !,तुम्हारी हिम्मत कैसे हुयी कमेंट करने की!
I was mad about her.,<unk> में में में में था .,मैं उसके लिये मरा जा रहा था.
What game are you playing?,<unk> <unk> <unk> हो ? ?,तुम क्या खेल खेल रहे हो?
"Hey, I gotta ask you...","<unk> , <unk> तुम तुम . . . .","अरे, मैं आप से पूछना होगा..."
"No, no, no, it's me.","नहीं , , , , , , .","नहीं, नहीं, नहीं, यह मुझे है."
"I came back, relieved.","<unk> , , <unk> <unk> <unk> .","मैं वापस आ गयी, राहत के साथ."
Remember what Mr. Hallorann said.,<unk> <unk> <unk> <unk> <unk> है .,याद करो श्री हैलोरन ने क्या कहा.
"All right, secure the roof.","<unk> <unk> , , , , ,","ठीक है, छत सुरक्षित है।"
I like you. OK.,<unk> <unk> <unk> <unk> <unk> . .,वास्तव में ...
So here we are.,<unk> <unk> <unk> जा जा .,तो हम यहाँ हैं।
We've tracked them here.,<unk> <unk> <unk> से <unk> <unk> .,उनका पीछा करते यहाँ पहुँच गए।
But we are still alive.,<unk> अभी भी भी कर कर हैं,लेकिन हम फिर भी जिंदा हैं.
You might be right.,<unk> अभी है हो है .,तुम सही हो सकता है.
It's between you and me.,<unk> <unk> <unk> <unk> <unk> <unk> .,सिर्फ हम दोनों के बीच. - ठीक है. वादा?
"And besides, she said no.","<unk> , , वह नहीं नहीं . .","और इसके अलावा, उसने कहा नहीं."
"What she thinks, they do.","<unk> <unk> , वे वे कर . .","वह क्या सोचता है, वे करते हैं."
to the year after.,के के के के के के,वर्ष के बाद करने के लिए।
KDK 1 calling KDK 12.,<unk> <unk> <unk> <unk> <unk> <unk> <unk>,के डी के 1 बुला रहा है के डी के 12 को.
[ DIRT BIKE REVS ],[ <unk> <unk> <unk> ],[गंदगी बाइक revs]
It's come to my voice.,<unk> मेरे के के लिए .,यह मेरी आवाज के लिए आ रहा है!
"- Bang, down, owned.","<unk> , , , <unk> <unk> .","- बैंग, नीचे, स्वामित्व."
( LOUD HIGH-PITCHED TONE ),<unk> <unk> <unk> <unk>,(ज़ोर अनिमेष स्वर)
"Welcome aboard. Thank you, sir.","<unk> <unk> <unk> , , , . .",सर।
What did you say?,<unk> तुम्हें क्यों किया ?,तुमने क्या कहा?
I'll start at the bottom.,<unk> में में <unk> .,- मैं नीचे से शुरू करूंगा।
What do zombies do?,<unk> <unk> <unk> ? ?,प्रेत क्या करते हैं?
Who... what are you?,<unk> . . . . ?,आपकौनहैं?
- That would be impossible.,<unk> <unk> <unk> <unk> . .,- यह असंभव होगा.
"There, you are strong.","<unk> , तुम बहुत रहे रहे रहे","वहाँ, आप मजबूत कर रहे हैं."
When my father died...,मेरे मेरे <unk> <unk> <unk> .,जब मेरे पिता की मृत्यु हो ...
Her favorite team is playing.,<unk> <unk> <unk> है है,उसकी पसंदीदा टीम खेल रही है .
How long till drop?,<unk> <unk> <unk> <unk> है ?,कब तक बूंद तक?
Don't be a sissy.,<unk> <unk> <unk> नहीं नहीं नहीं .,भोंदू मत बनो.
"Well, drop your dick.","<unk> , , <unk> <unk> <unk> .","खैर, अपने डिक ड्रॉप."
You thought I was dead?,<unk> <unk> <unk> <unk> कर था ?,तुम्हें पता है मैं मर चुका था?
Take the whole city down.,<unk> में <unk> <unk> .,पूरे शहर को नीचे ले जाओ.
Where did they steal it?,<unk> <unk> <unk> <unk> <unk> ? ?,कहाँ से चुराया?
Are you gonna miss me?,मैं मुझे मुझे मुझे कर कर ? ?,तुम मुझे याद कर रहा है?
We never find anything good.,<unk> भी भी नहीं नहीं नहीं .,हम कुछ भी अच्छा मिल कभी नहीं.
- They haven't found one.,<unk> एक नहीं नहीं है,चाकू उन्हें नहीं मिला है.
We call it transference.,<unk> <unk> <unk> <unk> <unk> .,हम यह स्थानांतरण कॉल.
Someone will find out.,<unk> बाहर बाहर बाहर .,कोई न कोई जान जाएगा.
It stinks of a coup.,<unk> <unk> <unk> <unk> <unk> <unk>,इसमें तख्तापलट की बू थी.
Kimber 1911 .45 ACP.,<unk> <unk> <unk> <unk> <unk> <unk>,किंबर 1911 .45 एसीपी।
"Mama, the tea's getting cold.","<unk> <unk> <unk> , है है है .","माँ, चाय ठंडी हो रही है."
"Okay, I'm coming up.","<unk> , <unk> <unk> <unk> . .",मैं ऊपर आ रहा हूं।
Everyone is laughing at me.,<unk> <unk> वाला है . .,हर कोई मुझ पर हँस रहे है.
Damn it to hell.,<unk> <unk> के लिए . .,यह नरक के लिए धिक्कार है.
"Yeah, she's my daughter.","<unk> , वह मेरी बहन बहन है","हाँ, वह मेरी बेटी है."
I do not believe it.,<unk> नहीं नहीं नहीं नहीं नहीं,मैं यह विश्वास नहीं है.
It's probably just a seal.,<unk> <unk> <unk> <unk> <unk> <unk> है .,यह शायद बस एक मुहर है.
You don't breathe in Herve.,<unk> <unk> <unk> <unk> <unk> .,आप Herve में साँस लेने के लिए नहीं है.
Let me tell you something.,<unk> मैं तुम्हें तुम्हें तुम्हें . .,एक बात मुझे कह लेने दीजिए.
"You'll be fine, Max.",<unk> <unk> <unk> <unk> <unk> .,आप अधिकतम ठीक हो जाएगा.
Place is very nicely self-contained.,<unk> <unk> <unk>,जगह अपने आप में पूरी तरह परिपुर्ण रखी गयी है.
Get out... you lazy dog.,<unk> . <unk> . . . . .,बाहर निकलो... आलसी कुत्ते.
Maybe Omar can have her.,<unk> <unk> <unk> नहीं कर कर .,शायद ओमार उसे ले सकता है.
"Tej, what have you got?","<unk> , क्या क्या क्या ? ?","तेज, आप क्या मिल गया है?"
"- Yes, it's raining!","<unk> , यह <unk> <unk> <unk> !","- हाँ,हो रही है!"
It's gonna be okay.,<unk> <unk> हो हो रहा .,सब ठीक हो जाएगा।
He is at the museum.,<unk> <unk> <unk> है .,उन्होंने कहा कि संग्रहालय में है।
I hit his weakest point.,अपने <unk> <unk> <unk> <unk> .,मैनें उसकी कमजोर नस पर मारा है
It is monkey porn.,<unk> <unk> <unk> <unk> <unk>,यह बंदर अश्लील है.
I am indebted to you.,<unk> <unk> <unk> <unk> लिए .,मैं अपने ऋण में हूँ.
What brings you to Mujinju?,<unk> <unk> <unk> <unk> लिए लिए ?,आप Mujinju करने के लिए क्या लाता है?
"TARS, do you read me?","<unk> , तुम मुझे तुम . ?","TARS, तुम मुझे सुन रहे हो ?"
"Uh, you can stop now.","<unk> , तुम तुम कर कर सकते सकते","उह, तुम अब बंद कर सकते हैं."
That's more like it.,<unk> <unk> <unk> <unk> है है .,यह हुई न बात।
- Slander is not power.,<unk> <unk> नहीं नहीं है है,- बदनामी शक्ति नहीं है.
"Sir, look at your charts.","<unk> , , अपनी अपनी <unk> .","भगवान, अपने पत्र पढ़ें..."
Our old life is done.,<unk> <unk> <unk> है है .,हमारी पुरानी जिंदगी से किया जाता है.
"Well, Mr Bobo had leverage.",<unk> <unk> <unk> <unk> <unk> <unk> <unk>,"खैर, श्री बोबो का लाभ उठाने की थी."
She left long ago.,<unk> से <unk> <unk> .,वह तो बहुत समय पहले छोड़कर चली गई।
This is the first time.,<unk> <unk> <unk> <unk> है है,यह पहली बार है.
"Can I go, man?","<unk> <unk> , , , ?","क्या मैं जा सकता है, यार?"
(MEN SHOUTING) (BELL RINGING),( <unk> <unk> <unk> ) <unk> ) ),(पुरुषोंचिल्ला) (घंटीबज)
Look at those police horses.,<unk> <unk> <unk> <unk> <unk> <unk>,उन पुलिस के घोडों को देखो.
"Judith, you nailed another one.","<unk> , <unk> और एक एक एक .","जूडिथ, आप एक दूसरे से किसी न किसी"
What's her condition now?,<unk> <unk> <unk> <unk> है ?,अब क्या उसकी हालत है?
He destroys our self-control.,हम <unk> <unk>,वह हमारे आत्म - नियंत्रण नष्ट कर देता है.
What are you doing here?,<unk> यहाँ यहाँ कर रहे हो हो,तुम यहाँ क्या कर रहे हो?
I ordered a full sealing.,<unk> <unk> <unk> <unk> <unk> <unk>,मैं एक पूर्ण सीलिंग का आदेश दिया.
Is this because of yesterday?,यह <unk> <unk> <unk> है ?,-? यह कल की वजह है?
( BABY CRYING ),( <unk> <unk> ) <unk>,(बच्चा रो)
"Ride back to Highgarden, sister.","<unk> <unk> <unk> , , ,","वापस Highgarden, बहन से सवारी।"
"All right, hold your horses!","<unk> , , <unk> <unk> <unk> !",- थोडा सब्र करो।
"I love you, too.","<unk> , तुम तुमसे भी । .",मैं भी तुमसे बहुत प्यार करता हूँ.
This is who you are.,<unk> तुम हो हो हो .,यही तुम्हारा अस्तित्व है।
Berlin's a city of warehouses.,<unk> <unk> <unk> <unk> <unk> <unk>,बर्लिन गोदामों का एक शहर है.
This is my wife.,<unk> मेरी मेरी है है है,यह मेरी पत्नी है.
I have no enemies here?,<unk> <unk> <unk> नहीं नहीं है ?,मेरा यहाँ कोई दुश्मन नहीं है.
Are you kidding me?,<unk> तुम मुझे <unk> रहे कर,यह कैसे मुमकिन है?
Why we just eliminate him?,<unk> हम उसे <unk> <unk> ?,क्यों हम बस उसे खत्म करने?
I think I found something.,<unk> <unk> <unk> <unk> <unk> <unk> .,मैं मैं कुछ मिल गया है.
Careful not to spill.,<unk> <unk> <unk> <unk> नहीं है,गिरकरनेके लिएनहींसावधान
You see what I mean?,<unk> <unk> क्या है है ?,मेरा मतलब समझ रहे हो?
"I'm going home, Rom.",<unk> <unk> के लिए लिए लिए लिए,"मैं घर जा रहा हूँ , Rom."
She may be weary,<unk> <unk> <unk> <unk> कर,वहहोसकताहैथकेहुए
You're wasting your time.,<unk> अपने से से कर कर रहे,तुम अपना समय बर्बाद कर रहे हो।
can I ask you something?,आप <unk> <unk> <unk> <unk> कर सकते,"जिम, तुम से कुछ पूछूं? -ज़रूर, एमी."
Now write the word... wealth.,<unk> . . . . . .,अब शब्द लिखना ... धन
- You do the driving.,<unk> <unk> <unk> <unk> .,- तुम गाड़ी चला रहे है.
"So, this is Johnny Farrell.","<unk> , यह <unk> <unk> <unk> .","तो, यह जॉनी फैरेल है."
How do you like it?,आप यह यह यह हो है ?,तुमको यह कैसा लगा?
I'm the Dragon Warrior.,<unk> <unk> <unk> <unk> .,मैं ड्रैगन योद्धा हूँ।
We either sit and wait,<unk> <unk> के के <unk> .,या तो हम बैठते हैं और प्रतीक्षा
I'm done talking about it.,<unk> के के के कर कर . .,मैं इसके बारे में बात कर रहा हूँ.
"""You're in my memories.""",""" <unk> <unk> <unk> <unk> <unk> <unk> .","""तुम मेरी यादों में हैं।"""
He went looking for you.,<unk> तुम्हारे लिए लिए लिए लिए,-वो तुम्हें ढूंढ़ने गए थे।
You fucking kidding me?,<unk> <unk> <unk> <unk> <unk> कर,- आप मज़ाक कर रहे हैं?
- Drive for the hole!,<unk> <unk> <unk> <unk> <unk>,- छेद के लिए ड्राइव!
- You're too kind.,<unk> <unk> <unk> कर कर .,- आप बहुत दयालु हैं.
Is the Manager in?,<unk> <unk> <unk> ? ?,प्रबंधक में है?
Tell me where you are.,<unk> <unk> तुम हो रहे .,मुझे बताओ कि तुम कहाँ हो।
I brought myself here!,<unk> <unk> <unk> <unk> <unk> !,मैं खुद को यहाँ लाया !
Each received photos like these.,<unk> <unk> <unk> <unk> <unk> .,प्रत्येक इन तरह प्राप्त तस्वीरें.
I heard you got married.,<unk> <unk> तुम से हो . .,मैंने सुना है आप शादी कर ली।
- You can indeed.,<unk> <unk> <unk> कर कर,"- हाँ, बिल्कुल."
Add it all up.,<unk> <unk> <unk> है . .,सभी जोड़ो.
Perfect for a child.,<unk> के के लिए लिए लिए,एक बच्चे के लिए बिल्कुल सही.
- Look at me.,<unk> मुझे <unk> <unk> .,- मुझे देखो.
"I am right here, daddy.","<unk> <unk> <unk> , , , ,","I यहीं हूँ, पिताजी।"
boy speaking native language:,पुरुष अपनी मातृभाषा में बोल बोल,लड़का मातृभाषा में बोल रहा है:
There's only vegetables here.,<unk> <unk> <unk> <unk> <unk> है है,यहाँ केवल सब्जियां हैं.
You want to give up?,<unk> <unk> के लिए लिए,तुम छोड़ देना चाहते हो?
"Write it up, Cub Scout.",<unk> <unk> <unk> <unk> <unk> <unk> <unk>,", शावक स्काउट इसे लिखो."
Some habits die hard.,<unk> <unk> <unk> <unk> <unk> <unk>,कुछ आदतें मुश्किल मर जाते हैं.
Because the soldier led you?,<unk> <unk> <unk> <unk> ?,क्योंकि सैनिक आप का नेतृत्व किया?
It's written on the slip.,<unk> <unk> <unk> <unk> <unk> .,पर्ची पर लिखा है.
That's 60 grand each.,<unk> <unk> <unk> <unk> <unk> <unk> है,वह 60 हज़ार एक है.
You're six foot four.,<unk> <unk> <unk> <unk> <unk> <unk> कर,आप छह फुट चार हो रहे हैं।
- About an hour.,एक <unk> <unk> <unk> <unk>,-करीब़ एक घंटे पहले.
We have international law.,<unk> <unk> <unk> <unk> <unk> <unk>,हम अंतरराष्ट्रीय कानून है।
Get him in there!,<unk> <unk> <unk> <unk>,उसे वहाँ ले जाओ!
"Yes, let's take a rest.","<unk> , चलो <unk> <unk> ।","हाँ, चलो आराम कर लो."
- Of course. Carry on.,<unk> <unk> <unk> <unk> .,आगे बोलिए।
Then we understand each other.,<unk> <unk> <unk> <unk> <unk> <unk> <unk>,तो फिर हम एक दूसरे को समझते हैं.
We're not goin' anywhere!,<unk> <unk> <unk> <unk> नहीं नहीं है,हम कहीं जा नहीं रहे हैं!
I'mma get us a spot.,<unk> <unk> <unk> <unk> <unk> <unk> .,I'mma हमें एक जगह मिलता है।
They're a bit big.,<unk> एक <unk> <unk> <unk> ।,वे थोड़े बड़े हैं.
Gravity to send a message.,<unk> <unk> के लिए लिए . .,गुरुत्वाकर्षण एक संदेश पहुंचाने के लिए.
And you are my weapon.,<unk> <unk> <unk> <unk> <unk> । .,और तुम मेरे हथियार हैं.
It can come in handy.,<unk> <unk> <unk> कर कर सकते .,यह काम में आ सकता है.
I'm good to go.,<unk> <unk> <unk> . . .,मुझे जाना अच्छा हूँ.
Never satisfied with the food.,<unk> <unk> के <unk> <unk>,भोजन से कभी संतुष्ट नहीं.
That may surprise some people.,<unk> <unk> <unk> <unk> <unk> कर कर,यह कुछ लोगों को आश्चर्य कर सकता है.
"Well, that was generous.","<unk> , <unk> <unk> <unk> . .",अच्छा है कि उदार था.
Is it really 1:00?,<unk> <unk> <unk> <unk> है ?,यह वास्तव में 1: 00 है?
We thought you were iced.,<unk> <unk> <unk> <unk> <unk> . .,हम आपको ठंडी थे.
I see you've arranged transportation.,<unk> <unk> <unk> <unk> <unk> <unk> . .,मैं आप परिवहन की व्यवस्था की है देखते हैं.
"I met another girl, Dad.","<unk> <unk> <unk> , <unk> <unk> <unk> .","मैं एक लड़की से मिला , Dad."
- What do you mean?,<unk> क्या क्या है है ?,- तुम्हारा क्या मतलब है?
Jake says thank you.,<unk> <unk> <unk> <unk> .,जेक कहता हैं शुक्रिया.
It's about damn time.,<unk> में में में में है है,-समय हो गया है।
You must be joking.,<unk> <unk> हो जा . .,आप मजाक कर रहा होगा.
That's the dining room.,<unk> <unk> <unk> <unk>,यह भोजन कक्ष है.
"His computer, his emails?",<unk> <unk> <unk> <unk> <unk> ? ?,उसकी ई-मेल ?
"Castle, this is Hummingbird.","<unk> , यह <unk> <unk> है .",हम हमिंगबर्ड हैं।
You have two new messages.,<unk> <unk> <unk> <unk> <unk> .,आपके लिए दो संदेश हैं.
"- Emil Hamilton, I know.","<unk> <unk> , <unk> <unk> <unk> .","- एमिल हैमिल्टन, मुझे पता है."
And he... does he know?,<unk> . . . . . . .,और वह ... उसे पता है क्या?
And he was right.,<unk> वह कि कि था था,और वह सही थे।
I do not understand.,<unk> नहीं नहीं नहीं नहीं .,मुझे समझ में नहीं आता.
"Pilot, start the engines.",<unk> <unk> <unk> <unk> <unk> .,"पायलट, इंजन चालू करो."
( breathing heavily ),( <unk> <unk> ) ),(श्वास भारी)
Do... not... go... gentle...,. . . . . . . . .,Do... not... go...
"In the morning, hmm?","<unk> , <unk> <unk> ? ?","सुबह में, हम्म?"
- You know what?,<unk> <unk> <unk> है ?,- तुम्हें पता है क्या?
Because you're asking me nicely?,<unk> <unk> <unk> <unk> <unk> रहे ?,आप अच्छी तरह से मुझसे पूछ रहे क्योंकि?
You should thank me.,<unk> मुझे जाना जाना .,तुम्हे मुझे शुक्रिया अदा करना चाहिए.
[ BELL TOLLING ],[ <unk> <unk> ] ],[घंटी tolling]
